name,avg
Quiz 4 – item 5,2.2
Quiz 4 – item 3,1.48684210526316
Quiz 4 – item 4,2.68852459016393
Quiz 4 – item 2,2.56944444444444
Quiz 4 – item 1,1.73417721518987
Quiz 1.1 – item 5,2.68
Quiz 1.1 – item 6,2.27692307692308
Quiz 1.1 – item 1,1.68553459119497
Quiz 1.1 – item 4,1.68131868131868
Quiz 1.1 – item 3,1.52336448598131
Quiz 1.1 – item 2,1.40490797546012
Quiz 1.2 – item 1,1.94520547945205
Quiz 1.2 – item 2,1.28
Quiz 1.2 – item 3,1.63529411764706
Quiz 1.2 – item 4,1.03619909502262
Quiz 1.2 – item 5.1,1.32394366197183
Quiz 1.2 – item 5.2,1.25555555555556
Quiz 1.2 – item 5.3,1.2875
Quiz 2.1 – item 4,1.69444444444444
Quiz 2.1 – item 2,1.51666666666667
Quiz 2.1 – item 3,1.78151260504202
Quiz 2.1 – item 5,2.2156862745098
Quiz 2.1 – item 1,2.42253521126761
Quiz 2.1 – item 6,1.75
Quiz 3 – item 1,1.14444444444444
Quiz 3 – item 2,2.65882352941176
Quiz 3 – item 3,3.82926829268293
All assignments,1.87807839052068
